STATE,DISTRICT,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,HARDNESS,QUALITY
A&N Islands,South Andaman,7.74,349.0,0.0,183.0,25.0,1.0,1.0,0.0,175.0,34.0,22.0,10.0,0.0,0.84,24.0,206.0,Hard,Safe
A&N Islands,South Andaman,7.53,660.0,0.0,262.0,82.0,5.0,1.0,0.0,250.0,52.0,29.0,51.0,1.0,0.28,24.0,381.0,Hard,Safe
A&N Islands,South Andaman,7.5,270.0,0.0,116.0,35.0,1.0,0.0,0.0,125.0,4.0,28.0,10.0,1.0,0.46,24.0,151.0,Hard,Safe
A&N Islands,South Andaman,7.6,311.0,0.0,159.0,39.0,2.0,0.0,0.0,135.0,26.0,17.0,15.0,2.0,0.37,24.0,198.0,Hard,Safe
A&N Islands,South Andaman,7.82,2501.0,0.0,512.0,560.0,56.0,5.0,0.0,465.0,56.0,79.0,336.0,18.0,0.95,24.0,1424.0,Hard,Moderately Safe
A&N Islands,South Andaman,7.71,264.0,0.0,153.0,35.0,1.0,1.0,0.0,130.0,26.0,16.0,15.0,0.0,0.57,24.0,188.0,Hard,Safe
A&N Islands,South Andaman,7.79,535.0,0.0,323.0,28.0,1.0,1.0,0.0,245.0,38.0,36.0,19.0,0.0,0.41,24.0,321.0,Hard,Safe
A&N Islands,South Andaman,7.78,440.0,0.0,226.0,39.0,1.0,1.0,0.0,190.0,36.0,24.0,22.0,2.0,0.69,24.0,264.0,Hard,Safe
A&N Islands,N&M Andaman,7.92,592.0,0.0,317.0,35.0,1.0,0.0,0.0,265.0,34.0,44.0,15.0,2.0,0.32,24.0,325.0,Hard,Safe
A&N Islands,N&M Andaman,7.78,456.0,0.0,226.0,21.0,5.0,2.0,0.0,205.0,38.0,27.0,14.0,7.0,0.6,24.0,251.0,Hard,Safe
A&N Islands,N&M Andaman,7.78,531.0,0.0,323.0,25.0,2.0,1.0,0.0,245.0,36.0,38.0,14.0,1.0,0.68,24.0,314.0,Hard,Safe
A&N Islands,N&M Andaman,7.29,506.0,0.0,275.0,32.0,0.0,0.0,0.0,215.0,32.0,33.0,14.0,1.0,0.66,24.0,280.0,Hard,Unsafe
A&N Islands,N&M Andaman,7.75,431.0,0.0,220.0,25.0,1.0,1.0,0.0,195.0,20.0,35.0,18.0,1.0,0.4,24.0,234.0,Hard,Safe
A&N Islands,South Andaman,7.22,147.0,0.0,49.0,25.0,0.0,0.0,0.0,50.0,16.0,2.0,9.0,1.0,0.37,24.0,84.0,Soft,Unsafe
A&N Islands,N&M Andaman,7.83,548.0,0.0,293.0,28.0,1.0,1.0,0.0,200.0,26.0,33.0,35.0,1.0,0.49,24.0,303.0,Hard,Safe
A&N Islands,N&M Andaman,7.59,253.0,0.0,122.0,28.0,1.0,1.0,0.0,110.0,22.0,13.0,11.0,2.0,0.47,24.0,153.0,Moderately,Safe
A&N Islands,N&M Andaman,7.9,626.0,0.0,342.0,28.0,1.0,1.0,0.0,240.0,26.0,43.0,48.0,1.0,0.38,24.0,356.0,Hard,Safe
A&N Islands,N&M Andaman,7.7,349.0,0.0,189.0,25.0,1.0,1.0,0.0,150.0,22.0,23.0,16.0,3.0,0.7,24.0,206.0,Hard,Safe
A&N Islands,N&M Andaman,7.38,186.0,0.0,92.0,21.0,0.0,1.0,0.0,80.0,22.0,6.0,9.0,2.0,0.48,24.0,117.0,Moderately,Unsafe
A&N Islands,N&M Andaman,7.61,579.0,0.0,238.0,60.0,6.0,8.0,0.0,195.0,36.0,26.0,50.0,7.0,0.34,24.0,338.0,Hard,Safe
A&N Islands,N&M Andaman,7.38,387.0,0.0,195.0,21.0,2.0,1.0,0.0,115.0,32.0,9.0,44.0,3.0,0.31,24.0,231.0,Moderately,Safe
A&N Islands,N&M Andaman,7.31,278.0,0.0,177.0,21.0,1.0,3.0,0.0,145.0,14.0,27.0,9.0,1.0,0.43,24.0,185.0,Hard,Safe
A&N Islands,N&M Andaman,7.54,475.0,0.0,238.0,35.0,11.0,4.0,0.0,190.0,38.0,23.0,32.0,2.0,0.39,24.0,292.0,Hard,Safe
A&N Islands,N&M Andaman,7.29,360.0,0.0,134.0,21.0,38.0,2.0,0.0,120.0,28.0,12.0,32.0,5.0,0.54,24.0,221.0,Moderately,Safe
A&N Islands,N&M Andaman,7.55,844.0,0.0,329.0,28.0,86.0,7.0,0.0,355.0,56.0,52.0,42.0,2.0,0.34,24.0,475.0,Hard,Moderately Safe
A&N Islands,N&M Andaman,7.69,366.0,0.0,220.0,18.0,2.0,0.0,0.0,175.0,36.0,21.0,14.0,2.0,0.57,24.0,227.0,Hard,Safe
A&N Islands,South Andaman,7.77,378.0,0.0,220.0,25.0,1.0,0.0,0.0,195.0,42.0,22.0,11.0,2.0,0.38,24.0,237.0,Hard,Safe
